Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Class
2.446035031,0.788231402,0.492395828,-1.753344274,-1.177528365,5.145029363,1
0.787189797,1.570337325,1.007145066,-1.46364209,-0.114844019,-2.134873351,1
0.269295683,2.757147072,1.455804249,2.674546213,-1.125419008,0.30130793,0
0.1905117,-1.6700002,3.831323281,-2.8713212,0.833223878,0.843429453,1
0.85996838,-1.738684748,1.252717161,-3.160665777,1.346044207,-4.791396051,1
-1.247804561,0.135037666,2.088314848,1.115911127,1.080459869,1.486722833,0
-1.611789829,-0.808553771,1.776045409,0.978492049,-0.772667142,-1.689638396,2
0.558437449,0.639555145,1.443351559,-1.199828482,2.56992684,0.11645124,1
-0.584476871,-0.206392173,-1.043847379,0.555646867,-0.657233318,1.25551182,0
-1.153494306,-1.676741981,1.537668866,1.163688717,-0.069589823,-0.357365833,2
-2.531365863,-1.292719587,0.387841274,-1.015886786,0.100817422,-0.637435789,1
0.123520813,-0.092591239,2.563055874,-0.714490113,-1.107104455,-1.064175688,1
-0.304909178,-0.338288832,1.664340182,-0.842931034,-0.130345146,-2.43474671,2
-2.49434127,-3.326832946,2.260563591,-1.904687811,0.383613954,-0.01976505,2
0.228924459,0.61118028,0.966620851,0.415409164,0.149286563,0.882467882,0
0.96942531,0.616607312,0.892596496,-1.503220693,0.289842264,3.02730962,1
1.327905321,1.347727141,0.465810557,-1.55466286,-0.149877967,0.895080216,1
-0.826746812,1.991574715,0.203697445,1.23209052,-1.84490524,0.327978303,0
-0.544293505,-0.730288708,0.326169639,-2.060756821,1.570494635,3.226556538,2
-0.771624283,-2.126951086,-0.22702457,0.105842904,2.005574046,-1.675323447,1
0.73410092,-0.396703401,0.598508086,1.290605947,-0.816305409,0.03795233,0
-0.16062786,-0.605479406,1.029382734,-0.353716693,-0.46914772,-1.462142774,1
-2.349955841,-0.713917492,3.235727016,-1.965591332,-1.524015242,1.92004125,2
-0.29644657,-0.559418589,1.548212252,-1.090635676,-0.418143034,-1.45176255,1
2.687200736,1.604297301,0.423051131,-0.618619038,0.203701798,2.1702675,1
-2.527932812,-2.482476819,-0.235434296,-1.303268281,-1.28844738,-1.520971913,1
-1.19360728,0.179773908,1.658989814,0.482958941,0.029983635,-1.207970887,2
-0.596226707,-1.397310826,-0.052965096,-0.230953717,1.764686934,3.11459802,0
-0.642347617,-1.197606629,1.766733813,-0.864773763,-1.003757892,0.37544637,2
-1.946915871,2.670414128,-0.325417978,1.428725406,-0.149036667,-0.244624782,0
-1.270206686,-1.934357171,1.004706787,2.760659584,-0.940413775,0.598789475,2
-1.26172963,-1.308402023,1.772054588,-0.53162287,-0.798439047,0.925540813,2
-0.920412176,-0.483562608,1.130284496,-2.282838899,0.97182269,-0.173756926,1
